date,Close
2016-02-23,51.18
2016-02-22,52.650002
2016-02-19,51.82
2016-02-18,52.189999
2016-02-17,52.419998
2016-02-16,51.09
2016-02-12,50.5
2016-02-11,49.689999
2016-02-10,49.709998999999996
2016-02-09,49.279999
2016-02-08,49.41
2016-02-05,50.16
2016-02-04,52.0
2016-02-03,52.16
2016-02-02,53.0
2016-02-01,54.709998999999996
2016-01-29,55.09
2016-01-28,52.060001
2016-01-27,51.220001
2016-01-26,52.169998
2016-01-25,51.790001000000004
2016-01-22,52.290001000000004
2016-01-21,50.48
2016-01-20,50.790001000000004
2016-01-19,50.560001
2016-01-15,50.990002000000004
2016-01-14,53.110001000000004
2016-01-13,51.639998999999996
2016-01-12,52.779999
2016-01-11,52.299999
2016-01-08,52.330002
2016-01-07,52.169998
2016-01-06,54.049999
2016-01-05,55.049999
2016-01-04,54.799999
2015-12-31,55.48
2015-12-30,56.310001
2015-12-29,56.549999
2015-12-28,55.950001
2015-12-24,55.669998
2015-12-23,55.82
2015-12-22,55.349998
2015-12-21,54.830002
2015-12-18,54.130001
2015-12-17,55.700001
2015-12-16,56.130001
2015-12-15,55.200001
2015-12-14,55.139998999999996
2015-12-11,54.060001
2015-12-10,55.27
2015-12-09,54.98
2015-12-08,55.790001000000004
2015-12-07,55.810001
2015-12-04,55.91
2015-12-03,54.200001
2015-12-02,55.209998999999996
2015-12-01,55.220001
2015-11-30,54.349998
2015-11-27,53.93
2015-11-25,53.689999
2015-11-24,54.25
2015-11-23,54.189999
2015-11-20,54.189999
2015-11-19,53.939999
2015-11-18,53.849998
2015-11-17,52.970001
2015-11-16,53.77
2015-11-13,52.84
2015-11-12,53.32
2015-11-11,53.650002
2015-11-10,53.509997999999996
2015-11-09,54.16
2015-11-06,54.919998
2015-11-05,54.380001
2015-11-04,54.400002
2015-11-03,54.150002
2015-11-02,53.240002000000004
2015-10-30,52.639998999999996
2015-10-29,53.360001000000004
2015-10-28,53.98
2015-10-27,53.689999
2015-10-26,54.25
2015-10-23,52.869999
2015-10-22,48.029999
2015-10-21,47.200001
2015-10-20,47.77
2015-10-19,47.619999
2015-10-16,47.509997999999996
2015-10-15,47.009997999999996
2015-10-14,46.68
2015-10-13,46.889998999999996
2015-10-12,47.0
2015-10-09,47.110001000000004
2015-10-08,47.450001
2015-10-07,46.799999
2015-10-06,46.75
2015-10-05,46.630001
2015-10-02,45.57
2015-10-01,44.610001000000004
2015-09-30,44.259997999999996
2015-09-29,43.439999
2015-09-28,43.290001000000004
2015-09-25,43.939999
2015-09-24,43.91
2015-09-23,43.869999
2015-09-22,43.900002
2015-09-21,44.110001000000004
2015-09-18,43.48
2015-09-17,44.25
2015-09-16,44.299999
2015-09-15,43.98
2015-09-14,43.040001000000004
2015-09-11,43.48
